CustomerID,Customer_Lifetime_Value,Coverage,Education,EmploymentStatus,Gender,Income,Location_Geo,Location_Code,Marital_Status,Monthly_Premium_Auto,Months_Since_Last_Claim,Months_Since_Policy_Inception,Number_of_Open_Complaints,Number_of_Policies,Policy_Type,Policy,Renew_Offer_Type,Sales_Channel,Total_Claim_Amount,Vehicle_Class,Vehicle_Size
2248,8405.752991,Basic,High School or Below,Employed,M,85355,1973,Suburban,Married,71,34,47,2,2,Personal Auto,Personal L2,Offer2,Call Center,458.568921,Two-Door Car,3
39,4327.098922,Basic,High School or Below,Employed,M,69040,285753,Suburban,Married,108,4,88,0,1,Corporate Auto,Corporate L3,Offer1,Call Center,518.4,Sports Car,3
8527,7559.206998,Premium,College,Unemployed,M,0,291771,Suburban,Single,119,33,58,1,3,Corporate Auto,Corporate L3,Offer1,Call Center,964.51598,Four-Door Car,3
320,2491.317024,Basic,Doctor,Employed,M,36631,172785,Rural,Divorced,62,30,77,0,1,Personal Auto,Personal L2,Offer1,Agent,67.530904,Four-Door Car,1
11148,5597.12496,Extended,High School or Below,Employed,F,37995,287776,Suburban,Married,139,16,50,0,1,Personal Auto,Personal L3,Offer1,Branch,667.2,SUV,2
10807,7462.926263,Extended,College,Employed,F,70263,126783,Rural,Married,93,30,66,0,5,Personal Auto,Personal L1,Offer2,Call Center,7.345946,Two-Door Car,3
4599,8149.769437,Basic,College,Employed,F,36737,16879,Suburban,Married,69,6,95,0,2,Personal Auto,Personal L2,Offer2,Call Center,350.4,Two-Door Car,2
4717,2489.337928,Basic,Bachelor,Employed,F,68041,189726,Suburban,Married,63,6,14,5,1,Personal Auto,Personal L3,Offer3,Branch,292.8,Two-Door Car,3
490,2933.498052,Extended,Bachelor,Unemployed,F,0,131801,Suburban,Single,80,8,74,0,1,Personal Auto,Personal L3,Offer2,Agent,408,Four-Door Car,2
8154,14325.15261,Extended,Bachelor,Unemployed,M,0,227878,Suburban,Married,136,30,75,0,2,Personal Auto,Personal L2,Offer1,Agent,652.8,SUV,2
2071,7367.653764,Basic,High School or Below,Employed,F,25318,17789,Suburban,Married,63,4,8,2,2,Personal Auto,Personal L2,Offer2,Call Center,302.4,Four-Door Car,3
2885,8278.786492,Premium,High School or Below,Unemployed,F,0,193742,Suburban,Married,110,20,66,0,7,Personal Auto,Personal L3,Offer1,Agent,1002.782553,Four-Door Car,2
5728,14970.28509,Extended,High School or Below,Employed,M,85297,285759,Suburban,Married,93,7,91,0,2,Special Auto,Special L3,Offer2,Branch,620.011594,Two-Door Car,3
9360,8161.781091,Basic,High School or Below,Employed,F,45270,285771,Rural,Single,70,11,63,0,2,Personal Auto,Personal L3,Offer4,Call Center,46.053458,Two-Door Car,2
6848,10090.40808,Extended,College,Employed,F,97238,19729,Suburban,Divorced,126,6,91,0,3,Personal Auto,Personal L3,Offer3,Web,604.8,SUV,2
11234,7180.971028,Basic,College,Employed,F,42303,174791,Suburban,Married,180,24,66,0,1,Personal Auto,Personal L2,Offer2,Agent,1210.920949,Luxury SUV,2
6697,2515.411468,Basic,College,Employed,M,39718,294759,Suburban,Married,65,1,55,2,1,Personal Auto,Personal L3,Offer1,Web,366.531664,Four-Door Car,2
7379,5433.214031,Basic,Bachelor,Employed,F,29629,184711,Urban,Married,71,21,51,4,5,Special Auto,Special L1,Offer1,Agent,228.443418,Four-Door Car,2
11031,6952.651187,Basic,College,Unemployed,F,0,194726,Suburban,Single,73,2,38,3,2,Corporate Auto,Corporate L1,Offer2,Agent,525.6,Four-Door Car,2
3670,5354.365535,Basic,High School or Below,Disabled,F,17099,189731,Suburban,Married,65,13,28,0,9,Personal Auto,Personal L2,Offer1,Web,331.2,Four-Door Car,3
1223,10682.7619,Extended,Master,Employed,M,52965,292766,Rural,Married,134,6,77,3,4,Personal Auto,Personal L3,Offer4,Agent,83.815183,SUV,2
9847,2254.931708,Basic,High School or Below,Unemployed,F,0,29765,Suburban,Single,63,0,14,0,1,Personal Auto,Corporate L3,Offer2,Call Center,345.6,Two-Door Car,2
700,7540.584824,Basic,Bachelor,Employed,M,29697,191735,Rural,Married,64,6,43,0,2,Personal Auto,Personal L2,Offer3,Agent,147.128736,Four-Door Car,2
6399,4874.0748,Basic,High School or Below,Unemployed,M,0,176778,Suburban,Single,68,10,36,0,7,Personal Auto,Personal L3,Offer4,Call Center,609.323227,Two-Door Car,2
7235,5507.063242,Basic,Master,Unemployed,F,0,226884,Suburban,Married,71,3,38,0,3,Personal Auto,Personal L3,Offer1,Branch,340.8,Four-Door Car,2
7459,4035.769432,Basic,Bachelor,Unemployed,F,0,285761,Suburban,Single,119,28,74,0,1,Corporate Auto,Corporate L3,Offer2,Agent,813.6,SUV,2
11432,3045.05813,Extended,High School or Below,Employed,F,53441,189725,Suburban,Married,76,11,78,0,1,Personal Auto,Personal L3,Offer4,Agent,364.8,Two-Door Car,2
8411,5893.368906,Basic,Bachelor,Employed,F,86498,187709,Rural,Married,74,13,13,1,5,Personal Auto,Personal L2,Offer3,Agent,8.529778,Two-Door Car,2
9215,5150.416511,Extended,Bachelor,Employed,F,35666,283777,Rural,Divorced,130,6,6,0,1,Personal Auto,Personal L3,Offer1,Branch,0.517753,Sports Car,2
6809,3214.979402,Extended,Bachelor,Employed,M,53984,288775,Suburban,Divorced,80,15,62,0,1,Corporate Auto,Corporate L2,Offer1,Call Center,421.484456,Four-Door Car,3
9171,5047.483378,Basic,Bachelor,Employed,M,81741,13802,Urban,Single,64,10,94,0,8,Corporate Auto,Corporate L2,Offer1,Agent,186.448395,Four-Door Car,2
9658,5585.30807,Basic,Doctor,Employed,F,74454,226893,Rural,Single,71,25,31,0,3,Personal Auto,Corporate L3,Offer2,Branch,20.141289,Four-Door Car,2
7464,16060.06949,Extended,College,Unemployed,M,0,212885,Suburban,Married,87,1,70,0,2,Personal Auto,Personal L3,Offer1,Call Center,417.6,Four-Door Car,2
8623,2566.782278,Basic,College,Medical Leave,M,25143,283764,Suburban,Married,68,31,82,0,1,Personal Auto,Personal L3,Offer1,Agent,340.8,Four-Door Car,2
5486,3933.813993,Basic,High School or Below,Employed,M,25927,191725,Suburban,Single,65,6,20,0,1,Personal Auto,Personal L3,Offer2,Web,674.973614,SUV,2
1444,5504.139033,Basic,Bachelor,Unemployed,F,0,298778,Suburban,Married,73,18,45,0,5,Personal Auto,Personal L2,Offer1,Call Center,350.4,Four-Door Car,2
8574,25464.82059,Extended,College,Retired,F,13663,175793,Suburban,Single,97,1,66,0,2,Corporate Auto,Corporate L3,Offer1,Branch,465.6,Four-Door Car,3
8995,7919.832069,Basic,Master,Unemployed,M,0,1379,Suburban,Married,70,13,18,0,2,Personal Auto,Personal L1,Offer1,Agent,336,Four-Door Car,2
4166,4745.181764,Basic,High School or Below,Employed,M,50549,13280,Suburban,Divorced,61,2,73,0,7,Personal Auto,Personal L3,Offer1,Agent,292.8,Four-Door Car,2
491,5296.838482,Basic,Master,Unemployed,M,0,179787,Rural,Divorced,73,33,44,0,3,Personal Auto,Personal L3,Offer1,Branch,152.080908,Four-Door Car,1
10926,23984.62144,Premium,Doctor,Employed,F,79655,177783,Rural,Married,296,12,17,0,9,Personal Auto,Personal L3,Offer2,Branch,498.159874,Luxury Car,2
484,16473.16905,Basic,Bachelor,Retired,M,22828,167803,Suburban,Married,106,11,54,0,2,Personal Auto,Personal L2,Offer1,Agent,508.8,SUV,2
563,3874.86854,Basic,College,Employed,M,47199,295768,Rural,Married,65,33,91,0,1,Personal Auto,Personal L3,Offer1,Agent,162.199584,Sports Car,2
6767,2759.618207,Basic,Bachelor,Employed,M,,189726,Suburban,Married,69,1,65,0,1,Personal Auto,Personal L3,Offer2,Branch,331.2,Four-Door Car,2
7943,2287.59692,Basic,High School or Below,Unemployed,M,0,193737,Suburban,Married,63,1,5,0,1,Corporate Auto,Corporate L3,Offer2,Agent,679.368378,Two-Door Car,2
9191,26413.54751,Extended,College,Employed,M,49078,193742,Rural,Single,83,15,16,0,2,Personal Auto,Personal L3,Offer2,Branch,56.371967,Four-Door Car,2
10102,5595.389905,Basic,Doctor,Medical Leave,F,11343,289782,Suburban,Married,65,22,72,0,5,Corporate Auto,Corporate L3,Offer1,Call Center,350.4,Two-Door Car,2
8774,7606.70898,Extended,Bachelor,Employed,F,47778,172784,Rural,Married,96,2,81,0,7,Personal Auto,Personal L3,Offer2,Call Center,173.80879,Four-Door Car,2
4490,6997.008618,Extended,Master,Employed,M,25411,174798,Suburban,Single,92,17,46,0,3,Corporate Auto,Corporate L3,Offer4,Call Center,413.492922,Four-Door Car,2
10321,5697.175238,Basic,Bachelor,Employed,M,68342,29479,Urban,Divorced,72,7,59,0,6,Personal Auto,Corporate L3,Offer2,Web,329.013275,Two-Door Car,2
5811,2561.576924,Basic,Doctor,Employed,M,79751,196735,Suburban,Married,65,15,71,0,1,Personal Auto,Personal L3,Offer3,Call Center,468,Two-Door Car,3
10604,4039.315002,Basic,College,Employed,F,34911,176783,Rural,Divorced,105,6,31,1,1,Personal Auto,Personal L3,Offer4,Agent,126.779673,SUV,1
3146,2886.451602,Extended,High School or Below,Retired,F,10312,203725,Suburban,Married,78,10,63,0,1,Corporate Auto,Corporate L2,Offer2,Agent,486.278557,Four-Door Car,1
81,4267.076892,Basic,Bachelor,Employed,F,43682,169774,Rural,Married,107,12,73,0,1,Corporate Auto,Corporate L3,Offer3,Branch,148.003496,SUV,2
5130,2668.662697,Basic,College,Employed,M,56342,279778,Suburban,Single,67,7,89,0,1,Personal Auto,Personal L1,Offer2,Call Center,336,Four-Door Car,2
3073,5004.310469,Basic,Master,Employed,M,25915,288774,Suburban,Married,63,33,62,1,8,Personal Auto,Personal L2,Offer2,Call Center,302.4,Four-Door Car,3
3765,2956.358303,Basic,Master,Employed,F,83318,28878,Rural,Married,65,0,33,0,1,Corporate Auto,Corporate L3,Offer4,Branch,51.822348,Two-Door Car,2
10288,3843.965188,Extended,Bachelor,Employed,M,43987,186718,Suburban,Married,96,29,17,0,1,Personal Auto,Personal L3,Offer2,Call Center,460.8,Four-Door Car,2
1158,2971.919417,Basic,Bachelor,Medical Leave,M,19464,191714,Suburban,Single,65,25,50,0,1,Corporate Auto,Corporate L2,Offer1,Branch,790.784983,Four-Door Car,2
7921,2506.263939,Basic,Master,Medical Leave,F,17193,175786,Suburban,Divorced,66,4,3,0,1,Corporate Auto,Corporate L3,Offer1,Web,316.8,Four-Door Car,2
5032,26453.93512,Extended,College,Employed,M,42961,29177,Suburban,Married,83,24,16,0,2,Personal Auto,Personal L2,Offer2,Web,398.4,Four-Door Car,2
6388,4836.054291,Basic,College,Unemployed,F,0,17795,Suburban,Single,69,12,89,0,8,Personal Auto,Personal L1,Offer1,Agent,632.081402,Four-Door Car,3
9823,2957.102851,Basic,College,Employed,M,94362,189736,Urban,Divorced,74,21,96,0,1,Personal Auto,Personal L2,Offer1,Agent,195.405949,Two-Door Car,1
8454,17788.05705,Extended,Doctor,Employed,M,73339,17774,Rural,Divorced,89,34,13,0,2,Personal Auto,Personal L3,Offer2,Agent,17.558721,Four-Door Car,2
7815,11880.96623,Premium,High School or Below,Unemployed,F,0,29678,Suburban,Single,114,29,96,0,2,Personal Auto,Personal L3,Offer1,Branch,820.8,Four-Door Car,2
1174,8257.666512,Basic,Bachelor,Disabled,F,13050,189726,Suburban,Married,119,20,1,0,3,Personal Auto,Personal L3,Offer4,Web,571.2,Four-Door Car,2
1975,2444.741307,Basic,College,Unemployed,M,0,285765,Urban,Married,71,8,59,1,1,Personal Auto,Personal L2,Offer3,Branch,244.587596,Four-Door Car,2
3665,4781.821034,Premium,Master,Employed,F,30361,188717,Urban,Married,119,28,48,1,1,Personal Auto,Personal L2,Offer2,Branch,373.289571,Four-Door Car,2
8304,4170.687348,Basic,Master,Employed,F,29462,168787,Suburban,Single,107,28,23,1,1,Personal Auto,Personal L3,Offer2,Branch,513.6,SUV,1
10298,3657.585449,Extended,High School or Below,Medical Leave,M,18052,189726,Suburban,Married,96,27,21,0,1,Personal Auto,Personal L3,Offer2,Web,451.2,Four-Door Car,1
4060,5170.450306,Basic,High School or Below,Employed,F,35334,169789,Suburban,Married,65,29,31,0,4,Personal Auto,Personal L2,Offer4,Web,468,Four-Door Car,3
5406,18089.79629,Basic,Master,Employed,F,68568,17781,Suburban,Married,223,5,28,1,6,Personal Auto,Personal L3,Offer4,Branch,1070.4,Luxury Car,2
211,2541.522907,Basic,Master,Disabled,F,28898,175791,Suburban,Divorced,65,7,8,0,1,Personal Auto,Personal L3,Offer3,Web,316.8,Four-Door Car,2
1177,6158.846901,Basic,College,Unemployed,M,0,188725,Suburban,Single,67,20,29,2,2,Personal Auto,Personal L3,Offer1,Agent,321.6,Four-Door Car,2
7859,8041.20055,Basic,High School or Below,Employed,M,44986,29773,Suburban,Married,101,14,83,0,3,Corporate Auto,Corporate L1,Offer1,Call Center,624.023564,SUV,2
5807,4389.945709,Basic,High School or Below,Unemployed,F,0,133803,Suburban,Divorced,118,10,69,1,1,Personal Auto,Personal L3,Offer1,Branch,670.656551,SUV,2
5987,8545.608946,Basic,Bachelor,Employed,M,35456,167788,Urban,Married,109,14,58,0,6,Personal Auto,Personal L1,Offer3,Agent,505.082702,Sports Car,2
2340,7285.030983,Basic,High School or Below,Employed,M,44788,192718,Suburban,Married,61,6,48,0,2,Personal Auto,Personal L2,Offer2,Agent,386.031248,Four-Door Car,3
7935,9050.756606,Basic,College,Employed,M,42743,288767,Suburban,Married,114,1,77,0,6,Corporate Auto,Corporate L2,Offer1,Branch,542.4,Four-Door Car,3
5175,3790.190029,Extended,High School or Below,Employed,M,66169,167791,Rural,Married,96,35,30,1,1,Personal Auto,Personal L2,Offer4,Web,156.429591,Two-Door Car,3
1467,8662.048958,Basic,College,Unemployed,F,0,134806,Urban,Married,117,0,65,0,4,Personal Auto,Personal L3,Offer3,Call Center,511.422666,SUV,2
2413,5741.696078,Basic,Master,Employed,F,29460,13788,Urban,Married,72,21,50,0,5,Personal Auto,Personal L3,Offer4,Web,328.65413,Two-Door Car,2
9208,5927.389227,Premium,High School or Below,Employed,M,33561,189725,Rural,Divorced,152,6,30,0,1,Corporate Auto,Corporate L3,Offer3,Branch,235.316581,Sports Car,2
4803,2497.531509,Basic,High School or Below,Unemployed,M,0,17979,Urban,Married,69,5,74,0,1,Corporate Auto,Corporate L2,Offer2,Branch,272.381465,Two-Door Car,2
10952,8709.845263,Premium,Bachelor,Employed,F,41546,135799,Rural,Divorced,111,4,47,0,3,Personal Auto,Corporate L1,Offer1,Call Center,121.306839,Four-Door Car,2
5973,6021.842473,Premium,High School or Below,Unemployed,F,0,192729,Suburban,Single,168,11,46,0,1,Personal Auto,Personal L3,Offer1,Agent,1476.670903,SUV,2
7160,4282.947971,Basic,College,Employed,F,40864,171778,Rural,Married,109,16,70,1,1,Personal Auto,Personal L3,Offer1,Agent,166.937747,SUV,2
4197,16675.89616,Extended,High School or Below,Employed,M,57844,189739,Suburban,Married,85,16,31,1,2,Personal Auto,Personal L3,Offer3,Branch,408,Four-Door Car,3
7529,11009.13049,Premium,High School or Below,Employed,M,56855,194731,Suburban,Single,276,17,0,0,1,Corporate Auto,Corporate L1,Offer1,Agent,1358.4,Luxury Car,2
8116,3136.698216,Extended,College,Employed,M,59644,224894,Suburban,Married,79,15,94,0,1,Corporate Auto,Corporate L3,Offer1,Agent,379.2,Four-Door Car,2
3644,3703.404606,Basic,Bachelor,Unemployed,M,0,285789,Suburban,Single,109,22,5,0,1,Personal Auto,Personal L3,Offer1,Agent,784.8,SUV,3
10021,13197.92893,Basic,College,Unemployed,F,0,222874,Suburban,Single,68,19,2,3,2,Personal Auto,Personal L2,Offer1,Agent,326.4,Four-Door Car,1
10273,4775.475851,Extended,High School or Below,Disabled,F,14254,16979,Suburban,Married,124,21,16,0,1,Corporate Auto,Corporate L1,Offer3,Branch,595.2,SUV,1
9938,2885.002508,Basic,College,Employed,M,77748,185713,Rural,Married,72,7,7,0,1,Personal Auto,Personal L3,Offer2,Branch,22.569825,Four-Door Car,2
6865,14206.98091,Basic,College,Disabled,F,26056,165789,Suburban,Married,73,17,73,0,2,Personal Auto,Personal L3,Offer1,Branch,355.558088,Four-Door Car,2
10869,6243.089247,Extended,College,Employed,M,73945,229898,Urban,Married,78,21,76,0,8,Personal Auto,Personal L3,Offer2,Web,330.872532,Two-Door Car,2
10042,9075.768214,Basic,Master,Employed,M,37722,185733,Rural,Single,116,8,23,0,8,Personal Auto,Personal L1,Offer1,Agent,158.077504,Sports Car,2
5795,5947.215835,Basic,College,Employed,F,67760,16979,Suburban,Married,74,19,19,0,3,Special Auto,Special L3,Offer4,Branch,465.278453,Four-Door Car,2
470,12296.49757,Basic,College,Employed,M,33760,17480,Suburban,Married,105,5,80,0,2,Personal Auto,Personal L3,Offer1,Agent,504,Sports Car,3
2436,4282.947971,Basic,College,Employed,M,49746,127814,Suburban,Married,109,16,61,0,1,Personal Auto,Personal L2,Offer1,Branch,780.378964,SUV,2
3653,35227.29912,Premium,College,Employed,F,74140,128811,Suburban,Divorced,118,19,5,2,2,Personal Auto,Personal L1,Offer1,Web,552,Four-Door Car,2
7328,2365.348601,Basic,Bachelor,Unemployed,F,0,132812,Rural,Married,65,25,51,2,1,Special Auto,Special L2,Offer2,Branch,159.636956,Four-Door Car,2
9786,2162.417356,Basic,College,Unemployed,F,0,22390,Suburban,Single,66,18,95,2,1,Personal Auto,Personal L3,Offer1,Branch,316.8,Two-Door Car,2
3694,5977.410465,Premium,Bachelor,Employed,F,41611,174774,Urban,Married,148,10,54,0,1,Personal Auto,Personal L2,Offer1,Branch,589.628918,SUV,2
8370,8879.790017,Basic,High School or Below,Employed,F,52583,189729,Urban,Single,113,12,59,0,7,Personal Auto,Personal L3,Offer1,Agent,528.20086,SUV,3
3436,2661.729688,Basic,Bachelor,Medical Leave,F,24152,291782,Suburban,Married,72,17,28,2,1,Personal Auto,Personal L2,Offer3,Branch,345.6,Four-Door Car,1
8105,4636.54647,Basic,College,Retired,M,26802,224891,Suburban,Married,65,7,43,1,5,Corporate Auto,Corporate L3,Offer2,Agent,316.8,Two-Door Car,2
1903,7761.267839,Extended,College,Employed,F,43137,194727,Suburban,Married,65,8,41,0,8,Personal Auto,Personal L3,Offer2,Call Center,460.8,Two-Door Car,1
2084,22103.5072,Basic,College,Unemployed,M,0,29759,Suburban,Married,102,35,48,0,2,Corporate Auto,Corporate L3,Offer1,Branch,489.6,SUV,2
2669,44771.29936,Extended,High School or Below,Unemployed,M,0,132798,Suburban,Married,131,20,59,0,2,Personal Auto,Personal L3,Offer3,Agent,842.391832,SUV,2
7286,5443.761524,Basic,High School or Below,Employed,F,41449,217883,Suburban,Married,69,16,96,1,3,Personal Auto,Personal L1,Offer3,Branch,331.2,Two-Door Car,2
3176,14866.45116,Extended,High School or Below,Employed,F,24279,188721,Suburban,Married,126,16,97,0,2,Personal Auto,Personal L2,Offer2,Branch,604.8,Sports Car,2
9634,4103.849192,Basic,College,Employed,F,82427,125791,Suburban,Married,102,24,5,0,1,Personal Auto,Personal L3,Offer2,Agent,489.6,SUV,3
6773,12981.52926,Premium,College,Employed,M,30763,191726,Rural,Single,65,25,29,0,2,Personal Auto,Personal L3,Offer1,Branch,133.735395,Four-Door Car,2
2290,8382.630118,Basic,High School or Below,Retired,M,19683,287775,Suburban,Married,117,17,41,1,9,Personal Auto,Personal L2,Offer1,Web,561.6,Sports Car,2
1505,2574.020376,Basic,Master,Employed,F,34990,285779,Rural,Single,65,23,73,0,1,Personal Auto,Personal L3,Offer2,Web,42.689135,Four-Door Car,2
7324,4553.185557,Basic,High School or Below,Employed,F,,132818,Suburban,Single,62,29,72,0,1,Personal Auto,Personal L3,Offer1,Agent,321.6,Four-Door Car,2
8753,5013.136429,Extended,High School or Below,Employed,M,65165,291774,Suburban,Married,126,14,18,1,1,Personal Auto,Personal L1,Offer2,Web,604.8,SUV,2
9644,6698.974274,Basic,College,Disabled,F,21114,225893,Suburban,Single,180,7,59,0,1,Personal Auto,Personal L3,Offer1,Call Center,864,Luxury Car,2
